2025-03-15 23:36:13, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 23:36:13, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 23:36:13, Class: 3, Confidence: 0.93, Sort As: Recycling
2025-03-15 23:36:13, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 23:36:16, Class: 3, Confidence: 0.60, Sort As: Recycling
2025-03-15 23:36:17, Class: 3, Confidence: 0.64, Sort As: Recycling
2025-03-15 23:36:17, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:17, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:17, Class: 3, Confidence: 0.64, Sort As: Recycling
2025-03-15 23:36:18, Class: 3, Confidence: 0.63, Sort As: Recycling
2025-03-15 23:36:18, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 23:36:18, Class: 3, Confidence: 0.65, Sort As: Recycling
2025-03-15 23:36:18, Class: 3, Confidence: 0.65, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.69, Sort As: Recycling
2025-03-15 23:36:19, Class: 3, Confidence: 0.70, Sort As: Recycling
2025-03-15 23:36:20, Class: 3, Confidence: 0.74, Sort As: Recycling
2025-03-15 23:36:20, Class: 3, Confidence: 0.68, Sort As: Recycling
2025-03-15 23:36:20, Class: 3, Confidence: 0.69, Sort As: Recycling
2025-03-15 23:36:20, Class: 3, Confidence: 0.68, Sort As: Recycling
2025-03-15 23:36:20, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.66, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.72, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.68, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 23:36:21, Class: 3, Confidence: 0.68, Sort As: Recycling
2025-03-15 23:36:24, Class: 3, Confidence: 0.54, Sort As: Recycling
2025-03-15 23:36:24, Class: 3, Confidence: 0.79, Sort As: Recycling
2025-03-15 23:36:24, Class: 3, Confidence: 0.77, Sort As: Recycling
2025-03-15 23:36:25, Class: 3, Confidence: 0.78, Sort As: Recycling
2025-03-15 23:36:25, Class: 3, Confidence: 0.80, Sort As: Recycling
2025-03-15 23:36:25, Class: 3, Confidence: 0.79, Sort As: Recycling
2025-03-15 23:36:28, Class: 3, Confidence: 0.51, Sort As: Recycling
2025-03-15 23:36:28, Class: 1, Confidence: 0.63, Sort As: Can
2025-03-15 23:36:28, Class: 1, Confidence: 0.60, Sort As: Can
2025-03-15 23:36:28, Class: 1, Confidence: 0.60, Sort As: Can
2025-03-15 23:36:54, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 23:36:59, Class: 1, Confidence: 0.52, Sort As: Can
2025-03-15 23:37:03, Class: 3, Confidence: 0.51, Sort As: Recycling
2025-03-15 23:37:07, Class: 1, Confidence: 0.60, Sort As: Can
2025-03-15 23:37:08, Class: 1, Confidence: 0.51, Sort As: Can
2025-03-15 23:37:11, Class: 3, Confidence: 0.59, Sort As: Recycling
2025-03-15 23:37:18, Class: 1, Confidence: 0.56, Sort As: Can
2025-03-15 23:37:19, Class: 1, Confidence: 0.52, Sort As: Can
2025-03-15 23:37:20, Class: 1, Confidence: 0.53, Sort As: Can
2025-03-15 23:37:23, Class: 1, Confidence: 0.92, Sort As: Can
2025-03-15 23:37:25, Class: 1, Confidence: 0.75, Sort As: Can
2025-03-15 23:37:26, Class: 1, Confidence: 0.85, Sort As: Can
2025-03-15 23:37:26, Class: 1, Confidence: 0.61, Sort As: Can
2025-03-15 23:37:28, Class: 1, Confidence: 0.69, Sort As: Can
2025-03-15 23:37:28, Class: 3, Confidence: 0.70, Sort As: Recycling
2025-03-15 23:37:33, Class: 1, Confidence: 0.87, Sort As: Can
2025-03-15 23:37:34, Class: 1, Confidence: 0.90, Sort As: Can
2025-03-15 23:37:34, Class: 1, Confidence: 0.85, Sort As: Can
2025-03-15 23:37:45, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:37:46, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:37:47, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:37:48, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:37:49, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:37:49, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:37:50, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:37:51, Class: 2, Confidence: 0.96, Sort As: Garbage
2025-03-15 23:37:52, Class: 2, Confidence: 0.91, Sort As: Garbage
2025-03-15 23:37:52, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:37:53, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:37:54, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:43:15, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 23:43:16, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:43:17, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 23:43:17, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 23:45:10, Class: 2, Confidence: 0.93, Sort As: Garbage
2025-03-15 23:45:22, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:45:23, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:45:24, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:45:30, Class: 1, Confidence: 0.90, Sort As: Can
2025-03-15 23:45:32, Class: 1, Confidence: 0.91, Sort As: Can
2025-03-15 23:45:33, Class: 1, Confidence: 0.91, Sort As: Can
2025-03-15 23:45:37, Class: 3, Confidence: 0.56, Sort As: Recycling
2025-03-15 23:45:38, Class: 3, Confidence: 0.59, Sort As: Recycling
